,Beverage_category,Beverage,Beverage_prep,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Size,Prepped Beverages
190,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,0.04,0.0,0.1,0.08,130,Tall,"Mocha (Without Whipped Cream), Nonfat Milk"
191,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,200,3,2.0,0.1,10,160,42,1,40,3.0,0.04,0.0,0.08,0.06,70,Tall,"Mocha (Without Whipped Cream), Whole Milk"
192,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,180,2,0.5,0.0,0,150,40,1,38,3.0,0.04,0.0,0.1,0.1,70,Tall,"Mocha (Without Whipped Cream), Soymilk"
193,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,260,1,0.5,0.0,0,220,61,1,58,4.0,0.06,0.0,0.1,0.08,110,Grande,"Mocha (Without Whipped Cream), Nonfat Milk"
194,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,290,4,2.5,0.1,10,220,61,1,58,4.0,0.04,0.0,0.1,0.08,110,Grande,"Mocha (Without Whipped Cream), Whole Milk"
195,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,260,2.5,0.5,0.0,0,220,59,1,55,4.0,0.04,0.0,0.1,0.15,110,Grande,"Mocha (Without Whipped Cream), Soymilk"
196,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,340,1,0.5,0.0,5,300,80,1,76,7.0,0.1,0.0,0.15,0.1,140,Venti,"Mocha (Without Whipped Cream), Nonfat Milk"
197,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,390,6,3.5,0.1,15,300,80,1,76,6.0,0.08,0.0,0.15,0.1,140,Venti,"Mocha (Without Whipped Cream), Whole Milk"
198,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,350,3,1.0,0.0,0,290,78,2,73,6.0,0.06,0.0,0.2,0.2,140,Venti,"Mocha (Without Whipped Cream), Soymilk"
199,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,0.04,0.0,0.1,0.0,70,Tall,"Caramel (Without Whipped Cream), Nonfat Milk"
200,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,200,2.5,1.5,0.1,10,160,42,0,41,3.0,0.04,0.0,0.08,0.0,70,Tall,"Caramel (Without Whipped Cream), Whole Milk"
201,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,180,1.5,0.2,0.0,0,150,40,0,39,2.0,0.04,0.0,0.1,0.04,70,Tall,"Caramel (Without Whipped Cream), Soymilk"
202,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,0.06,0.0,0.1,0.0,100,Grande,"Caramel (Without Whipped Cream), Nonfat Milk"
203,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,280,3.5,2.0,0.1,10,220,60,0,59,3.0,0.04,0.0,0.1,0.0,100,Grande,"Caramel (Without Whipped Cream), Whole Milk"
204,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,260,1.5,0.2,0.0,0,220,58,0,56,3.0,0.04,0.0,0.1,0.06,100,Grande,"Caramel (Without Whipped Cream), Soymilk"
205,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,0.1,0.0,0.15,0.02,130,Venti,"Caramel (Without Whipped Cream), Nonfat Milk"
206,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,370,5,3.0,0.1,15,300,78,0,77,5.0,0.08,0.0,0.15,0.02,130,Venti,"Caramel (Without Whipped Cream), Whole Milk"
207,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,340,2.5,0.3,0.0,0,290,75,1,73,5.0,0.06,0.0,0.2,0.08,130,Venti,"Caramel (Without Whipped Cream), Soymilk"
208,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220,3,2.0,0.0,0,170,47,1,44,4.0,0.04,0.0,0.1,0.2,75,Tall,"Java Chip (Without Whipped Cream), Nonfat Milk"
209,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,240,5,3.5,0.1,10,170,47,1,44,4.0,0.04,0.0,0.08,0.2,75,Tall,"Java Chip (Without Whipped Cream), Whole Milk"
210,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,220,4,2.5,0.0,0,170,45,1,42,3.0,0.04,0.0,0.1,0.2,75,Tall,"Java Chip (Without Whipped Cream), Soymilk"
211,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310,4,3.0,0.0,0,250,67,2,62,5.0,0.06,0.0,0.1,0.25,110,Grande,"Java Chip (Without Whipped Cream), Nonfat Milk"
212,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,340,7,5.0,0.1,10,250,67,2,62,5.0,0.04,0.0,0.1,0.25,110,Grande,"Java Chip (Without Whipped Cream), Whole Milk"
213,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,310,6,3.5,0.0,0,240,65,2,60,4.0,0.04,0.0,0.1,0.3,110,Grande,"Java Chip (Without Whipped Cream), Soymilk"
214,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420,5,4.0,0.0,5,340,90,2,84,7.0,0.1,0.0,0.2,0.35,145,Venti,"Java Chip (Without Whipped Cream), Nonfat Milk"
215,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460,10,7.0,0.2,15,340,90,2,84,7.0,0.06,0.0,0.15,0.35,145,Venti,"Java Chip (Without Whipped Cream), Whole Milk"
216,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430,8,4.5,0.0,0,330,88,3,80,6.0,0.06,0.0,0.2,0.4,145,Venti,"Java Chip (Without Whipped Cream), Soymilk"
217,Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,0.04,0.0,0.1,0.0,70,Tall,"Coffee, Nonfat Milk"
218,Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,0.06,0.0,0.1,0.0,95,Grande,"Coffee, Nonfat Milk"
219,Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,0.08,0.0,0.15,0.02,120,Venti,"Coffee, Nonfat Milk"
220,Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,0.04,0.0,0.08,0.06,70,Tall,"Mocha, Nonfat Milk"
221,Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150,1,0.5,0.0,0,200,33,1,30,4.0,0.06,0.0,0.1,0.08,95,Grande,"Mocha, Nonfat Milk"
222,Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210,1,0.5,0.0,5,280,46,1,42,6.0,0.08,0.0,0.15,0.1,130,Venti,"Mocha, Nonfat Milk"
223,Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,0.04,0.0,0.08,0.0,65,Tall,"Caramel, Nonfat Milk"
224,Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,0.06,0.0,0.1,0.0,90,Grande,"Caramel, Nonfat Milk"
225,Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,0.08,0.0,0.15,0.02,120,Venti,"Caramel, Nonfat Milk"
226,Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150,3,2.0,0.0,0,170,30,1,27,4.0,0.04,0.0,0.1,0.2,70,Tall,"Java Chip, Nonfat Milk"
227,Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220,4,3.0,0.0,0,240,43,2,39,5.0,0.06,0.0,0.1,0.25,105,Grande,"Java Chip, Nonfat Milk"
228,Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290,5,4.0,0.0,5,320,58,2,52,7.0,0.08,0.0,0.15,0.35,165,Venti,"Java Chip, Nonfat Milk"
229,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,0.06,0.06,0.1,0.02,0,Tall,"Strawberries & Crème (Without Whipped Cream), Nonfat Milk"
230,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,190,3,1.5,0.1,10,140,38,0,37,3.0,0.04,0.06,0.1,0.02,0,Tall,"Strawberries & Crème (Without Whipped Cream), Whole Milk"
231,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,0.04,0.06,0.1,0.06,0,Tall,"Strawberries & Crème (Without Whipped Cream), Soymilk"
232,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,0.08,0.06,0.15,0.04,0,Grande,"Strawberries & Crème (Without Whipped Cream), Nonfat Milk"
233,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,260,4,2.0,0.1,10,190,53,0,52,4.0,0.06,0.06,0.15,0.04,0,Grande,"Strawberries & Crème (Without Whipped Cream), Whole Milk"
234,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,240,2,0.2,0.0,0,180,51,1,49,3.0,0.04,0.06,0.15,0.08,0,Grande,"Strawberries & Crème (Without Whipped Cream), Soymilk"
235,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,0.1,0.08,0.2,0.04,0,Venti,"Strawberries & Crème (Without Whipped Cream), Nonfat Milk"
236,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,350,6,3.0,0.2,15,260,70,0,68,6.0,0.08,0.08,0.2,0.04,0,Venti,"Strawberries & Crème (Without Whipped Cream), Whole Milk"
237,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,320,3.2,0.4,0.0,0,250,67,1,64,5.0,0.06,0.08,0.2,0.1,0,Venti,"Strawberries & Crème (Without Whipped Cream), Soymilk"
238,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,0.06,0.0,0.1,0.0,0,Tall,"Vanilla Bean (Without Whipped Cream), Nonfat Milk"
239,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,0.06,0.0,0.1,0.0,0,Tall,"Vanilla Bean (Without Whipped Cream), Whole Milk"
240,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,0.04,0.0,0.1,0.06,0,Tall,"Vanilla Bean (Without Whipped Cream), Soymilk"
241,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,0.08,0.0,0.15,0.0,0,Grande,"Vanilla Bean (Without Whipped Cream), Nonfat Milk"
